iter	Passed	Remaining
0	696	695454
1	1576	786778
2	2939	976786
3	3410	849264
4	7998	1591742
5	8683	1438634
6	10135	1437745
7	10949	1357782
8	12875	1417699
9	13508	1337298
10	14056	1263835
11	14687	1209241
12	15357	1166002
13	15973	1125022
14	16534	1085777
15	17102	1051807
16	18030	1042578
17	18454	1006779
18	19984	1031834
19	20641	1011432
20	21068	982187
21	21490	955329
22	22007	934834
23	22269	905625
24	22663	883858
25	23216	869714
26	24419	880018
27	27010	937664
28	29058	972971
29	30576	988629
30	31078	971464
31	31468	951927
32	32658	956992
33	33146	941755
34	33926	935395
35	34476	923199
36	35078	912998
37	35595	901116
38	36366	896097
39	39493	947841
40	40506	947468
41	41654	950123
42	42410	943891
43	43620	947748
44	46287	982313
45	48054	996613
46	48905	991646
47	49863	988968
48	51088	991527
49	52195	991716
50	52521	977309
51	53253	970855
52	53855	962291
53	54325	951694
54	55060	946042
55	55485	935323
56	56279	931074
57	57220	929336
58	58598	934603
59	59730	935772
60	60588	932660
61	61287	927223
62	61906	920735
63	62355	911942
64	62990	906088
65	63349	896489
66	64114	892812
67	64770	887733
68	65341	881631
69	65900	875530
70	67002	876696
71	67573	870953
72	68171	865688
73	68994	863362
74	69639	858881
75	70634	858769
76	71425	856175
77	71978	850824
78	72343	843394
79	72986	839340
80	73372	832459
81	74115	829731
82	74792	826325
83	75041	818304
84	75542	813196
85	76984	818179
86	78004	818597
87	79017	818909
88	79988	818762
89	80646	815424
90	81720	816311
91	82230	811578
92	82883	808339
93	83371	803562
94	84058	800771
95	84751	798072
96	85249	793610
97	86128	792734
98	87013	791911
99	87996	791972
100	88712	789627
101	89719	789882
102	90634	789312
103	91292	786522
104	92053	784649
105	92595	780945
106	92890	775246
107	94081	777044
108	94555	772927
109	95591	773423
110	96457	772526
111	97329	771681
112	98063	769758
113	98858	768323
114	99904	768833
115	101619	774412
116	102561	774031
117	103180	771234
118	103643	767311
119	104211	764217
120	104639	760150
121	105298	757803
122	105956	755478
123	106797	754470
124	107631	753423
125	108834	754934
126	109422	752169
127	110638	753726
128	111490	752778
129	112299	751540
130	112986	749502
131	113551	746685
132	114312	745178
133	114917	742678
134	115314	738865
135	115998	736931
136	116738	735365
137	117510	734014
138	118066	731334
139	119054	731332
140	120053	731392
141	121002	731127
142	121902	730559
143	122871	730400
144	124405	733566
145	125835	736053
146	126676	735071
147	127588	734498
148	128532	734104
149	129304	732727
150	130468	733562
151	131614	734272
152	132424	733096
153	133122	731310
154	133701	728888
155	134313	726672
156	134882	724242
157	136036	724952
158	136351	721206
159	137845	723689
160	139540	727171
161	140990	729320
162	142031	729325
163	142690	727374
164	143141	724380
165	143795	722442
166	144295	719747
167	145032	718255
168	145724	716549
169	146466	715100
170	147304	714127
171	148488	714817
172	149210	713276
173	150114	712612
174	150927	711515
175	151876	711057
176	152616	709623
177	153002	706563
178	153546	704255
179	154278	702823
180	155205	702284
181	155907	700728
182	158152	706070
183	158968	704990
184	159534	702816
185	160223	701192
186	161253	701064
187	161879	699183
188	162583	697648
189	163620	697538
190	164246	695684
191	165044	694563
192	165933	693825
193	166614	692223
194	167500	691475
195	168391	690748
196	169460	690746
197	170582	690944
198	171618	690785
199	172527	690109
200	173146	688277
201	173717	686269
202	174413	684765
203	174807	682091
204	175418	680282
205	176017	678436
206	176661	676775
207	177444	675655
208	178279	674733
209	179186	674083
210	180057	673296
211	180432	670664
212	181492	670584
213	182459	670155
214	183060	668384
215	183717	666826
216	184354	665207
217	185190	664307
218	185849	662778
219	186519	661298
220	187142	659657
221	188919	662069
222	190720	664528
223	191535	663532
224	192436	662836
225	193191	661638
226	193647	659426
227	194191	657526
228	194629	655281
229	195153	653339
230	195919	652217
231	196826	651562
232	197537	650263
233	198490	649758
234	199387	649069
235	201763	653166
236	202544	652075
237	203209	650611
238	203770	648825
239	204222	646704
240	204644	644504
241	205353	643215
242	205739	640925
243	206391	639476
244	207399	639130
245	208676	639603
246	211644	645215
247	213184	646429
248	221221	667219
249	222876	668630
250	223533	667038
251	224367	665979
252	225966	667182
253	228963	672468
254	231431	676143
255	232819	676631
256	233705	675654
257	234839	675392
258	235427	673560
259	236124	672046
260	237376	672112
261	238302	671247
262	238644	668748
263	239916	668857
264	240964	668336
265	241456	666274
266	242346	665319
