iter	Passed	Remaining
0	222	111147
1	398	99178
2	557	92395
3	765	94896
4	954	94541
5	1113	91654
6	1263	88980
7	1433	88157
8	1603	87473
9	1805	88454
10	2015	89579
11	2139	87006
12	2279	85383
13	2446	84920
14	2640	85379
15	2909	88013
16	3139	89198
17	3295	88248
18	3438	87045
19	3570	85702
20	3745	85430
21	3914	85058
22	4126	85580
23	4285	84999
24	4444	84453
25	4578	83460
26	4717	82652
27	4847	81720
28	4990	81050
29	5204	81537
30	5431	82176
31	5615	82131
32	5801	82099
33	5939	81409
34	6115	81251
35	6238	80407
36	6453	80752
37	6693	81374
38	6858	81075
39	6948	79908
40	7071	79163
41	7217	78701
42	7393	78572
43	7698	79781
44	7862	79500
45	8062	79570
46	8354	80520
47	8586	80854
48	8796	80963
49	8923	80307
50	9075	79900
51	9217	79408
52	9356	78910
53	9478	78282
54	9629	77907
55	9797	77677
56	9880	76794
57	10119	77121
58	10356	77411
59	10510	77079
60	10665	76759
61	10839	76577
62	10964	76056
63	11094	75580
64	11218	75077
65	11355	74668
66	11537	74563
67	11601	73701
68	11729	73268
69	11878	72969
70	12052	72825
71	12287	73041
72	12535	73322
73	12709	73166
74	12850	72822
75	12974	72382
76	13151	72249
77	13311	72021
78	13453	71697
79	13606	71434
80	13714	70940
81	13863	70671
82	13977	70224
83	14108	69869
84	14225	69456
85	14423	69432
86	14573	69181
87	14756	69087
88	14994	69246
89	15292	69666
90	15541	69851
91	15754	69868
92	15997	70010
93	16264	70249
94	16486	70283
95	16658	70103
96	16829	69921
97	17085	70084
98	17156	69490
99	17322	69291
100	17480	69055
101	17643	68842
102	17827	68711
103	17971	68431
104	18091	68058
105	18216	67710
106	18296	67199
107	18419	66857
108	18560	66581
109	18754	66493
110	18903	66246
111	18969	65715
112	19133	65529
113	19303	65361
114	19459	65146
115	19617	64941
116	19790	64783
117	19903	64434
118	20074	64273
119	20241	64098
120	20418	63956
121	20577	63758
122	20767	63652
123	20890	63345
124	20976	62930
125	21127	62712
126	21249	62411
127	21322	61967
128	21439	61660
129	21652	61626
130	21815	61450
131	21961	61227
132	22094	60966
133	22237	60737
134	22412	60597
135	22522	60280
136	22649	60013
137	22780	59758
138	22922	59532
139	23059	59297
140	23138	58912
141	23281	58694
142	23411	58447
143	23532	58178
144	23654	57912
145	23753	57594
146	23947	57507
147	24067	57241
148	24222	57061
149	24364	56849
150	24477	56572
151	24595	56310
152	24759	56153
153	24887	55916
154	25003	55652
155	25113	55377
156	25243	55148
157	25384	54947
158	25572	54844
159	25692	54595
160	25798	54320
161	25917	54074
162	26106	53973
163	26266	53814
164	26410	53621
165	26529	53377
166	26646	53133
167	26772	52908
168	26887	52660
169	27014	52440
170	27102	52145
171	27219	51906
172	27358	51712
173	27483	51491
174	27552	51169
175	27687	50969
176	27808	50746
177	27856	50391
178	27974	50166
179	28102	49960
180	28285	49851
181	28512	49818
182	28644	49619
183	28796	49454
184	28961	49312
185	29105	49135
186	29250	48958
187	29354	48715
188	29481	48512
189	29592	48282
190	29695	48041
191	29852	47888
192	30072	47836
193	30206	47645
194	30433	47600
195	30604	47468
196	30774	47332
197	31145	47505
198	31316	47368
199	31692	47539
200	31935	47505
201	32410	47812
202	32687	47823
203	32962	47828
204	33198	47773
205	33390	47654
206	33509	47431
207	33684	47288
208	33775	47027
209	33956	46891
210	34080	46678
211	34314	46615
212	34518	46511
213	34727	46411
214	34953	46333
215	35153	46220
216	35443	46223
217	35768	46268
218	36022	46220
219	36203	46077
220	36424	45984
221	36649	45894
222	36798	45709
223	36996	45584
224	37053	45288
225	37227	45133
226	37430	45015
227	37507	44746
228	37612	44511
229	37747	44311
230	37932	44172
231	38077	43985
232	38388	43990
233	38536	43806
234	38760	43708
235	38926	43545
236	39061	43346
237	39274	43234
238	39546	43186
239	39733	43044
240	39958	42943
241	40228	42887
242	40448	42778
243	40626	42624
244	40763	42427
245	40920	42251
246	40960	41954
247	41074	41737
248	41235	41566
249	41438	41438
250	41548	41217
251	41728	41065
252	41963	40967
253	42110	40783
254	42279	40621
255	42553	40558
256	42751	40422
257	42901	40241
258	43048	40056
259	43182	39860
260	43312	39661
261	43457	39476
262	43601	39290
263	43719	39082
264	43890	38921
265	44025	38728
266	44184	38558
267	44364	38405
268	44485	38201
269	44647	38033
270	44790	37848
271	44947	37676
272	45102	37502
273	45234	37310
274	45363	37115
275	45472	36904
276	45570	36686
277	45691	36487
278	45839	36309
279	45967	36117
280	46092	35922
281	46203	35717
282	46324	35520
283	46464	35338
284	46634	35180
285	46758	34987
286	46869	34784
287	46995	34593
288	47180	34446
289	47356	34292
290	47471	34094
291	47586	33896
292	47685	33688
293	47790	33485
294	47946	33318
295	48161	33192
296	48375	33064
297	48560	32916
298	48722	32753
299	48910	32607
300	49076	32445
301	49204	32259
302	49363	32094
303	49554	31949
304	49694	31771
305	49833	31593
306	49978	31419
307	50134	31252
308	50345	31119
309	50533	30972
310	50663	30789
311	50799	30610
312	50920	30422
313	51086	30261
314	51230	30087
315	51378	29916
316	51530	29748
317	51707	29593
318	51885	29439
319	52070	29289
320	52303	29166
321	52535	29041
322	52684	28870
323	52839	28702
324	52978	28526
325	53135	28360
326	53296	28196
327	53480	28044
328	53631	27875
329	53807	27719
330	54006	27574
331	54183	27418
332	54367	27265
333	54540	27106
334	54731	26957
335	54874	26784
336	55019	26611
337	55143	26429
338	55335	26280
339	55485	26110
340	55668	25956
341	55836	25795
342	55984	25625
343	56177	25475
344	56388	25334
345	56536	25163
346	56642	24975
347	56762	24792
348	56879	24609
349	57027	24440
350	57156	24262
351	57317	24099
352	57459	23928
353	57572	23744
354	57690	23563
355	57794	23377
356	57947	23211
357	58102	23046
358	58237	22873
359	58376	22701
360	58534	22538
361	58663	22363
362	58783	22185
363	58905	22008
364	59050	21840
365	59173	21664
366	59292	21487
367	59395	21305
368	59524	21131
369	59633	20952
370	59767	20781
371	59883	20605
372	60029	20438
373	60168	20270
374	60305	20101
375	60419	19925
376	60532	19749
377	60693	19588
378	60805	19412
379	60924	19239
380	61044	19066
381	61151	18889
382	61251	18711
383	61340	18529
384	61426	18348
385	61557	18180
386	61684	18011
387	61798	17838
388	61903	17664
389	62019	17492
390	62130	17320
391	62245	17149
392	62346	16974
393	62481	16809
394	62641	16651
395	62795	16491
396	62959	16334
397	63075	16164
398	63173	15991
399	63304	15826
400	63414	15655
401	63523	15485
402	63638	15317
403	63765	15152
404	63900	14989
405	64075	14835
406	64189	14667
407	64323	14504
408	64453	14340
409	64567	14173
410	64680	14006
411	64799	13840
412	64898	13671
413	65045	13511
414	65231	13360
415	65382	13202
416	65546	13046
417	65697	12887
418	65850	12730
419	65990	12569
420	66180	12418
421	66301	12254
422	66409	12088
423	66514	11922
424	66612	11755
425	66715	11589
426	66860	11430
427	67031	11276
428	67176	11117
429	67352	10964
430	67517	10809
431	67682	10653
432	67829	10495
433	67940	10332
434	68076	10172
435	68208	10012
436	68334	9851
437	68464	9691
438	68584	9529
439	68686	9366
440	68793	9203
441	68922	9044
442	69072	8887
443	69240	8733
444	69377	8574
445	69506	8415
446	69635	8256
447	69752	8096
448	69875	7936
449	70042	7782
450	70135	7620
451	70244	7459
452	70342	7298
453	70443	7137
454	70534	6975
455	70637	6815
456	70758	6657
457	70874	6499
458	70991	6341
459	71096	6182
460	71216	6024
461	71328	5866
462	71452	5710
463	71624	5557
464	71765	5401
465	71903	5246
466	72075	5093
467	72215	4937
468	72376	4783
469	72503	4627
470	72624	4471
471	72753	4315
472	72910	4161
473	73066	4007
474	73178	3851
475	73300	3695
476	73426	3540
477	73575	3386
478	73693	3230
479	73823	3075
480	73964	2921
481	74097	2767
482	74240	2613
483	74362	2458
484	74507	2304
485	74605	2149
486	74714	1994
487	74823	1839
488	74934	1685
489	75079	1532
490	75200	1378
491	75342	1225
492	75461	1071
493	75577	917
494	75678	764
495	75786	611
496	75927	458
497	76137	305
498	76346	152
499	76520	0
