iter	Logloss
0	0.6382446241
1	0.593969807
2	0.5606235804
3	0.5312816695
4	0.5070723071
5	0.4874690889
6	0.4720114464
7	0.4594561171
8	0.4493562368
9	0.4409763862
10	0.4340551936
11	0.428610588
12	0.4236010021
13	0.4190951001
14	0.415592807
15	0.4126291008
16	0.4102898882
17	0.408431601
18	0.4064401803
19	0.4052085786
20	0.4040977137
21	0.4030253618
22	0.4018502225
23	0.4010300111
24	0.400254093
25	0.3994932654
26	0.3992292562
27	0.3988326128
28	0.3985866027
29	0.3984084692
30	0.3983264275
31	0.398033227
32	0.3975821623
33	0.3971360051
34	0.3969250492
35	0.3967868569
36	0.3965898271
37	0.3963102979
38	0.3962433765
39	0.3959918808
40	0.39587459
41	0.395743712
42	0.3955224549
43	0.3953323219
44	0.3950912107
45	0.394985963
46	0.3949177839
47	0.3947844023
48	0.3947637061
49	0.394593556
50	0.3944620243
51	0.3943242503
52	0.3942018791
53	0.3941159287
54	0.3940144236
55	0.3939963355
56	0.3939824615
57	0.3938468018
58	0.3937636489
59	0.3936673755
60	0.3936002238
61	0.39358443
62	0.3934986631
63	0.3934117424
64	0.3934027436
65	0.3932974972
66	0.3932474815
67	0.3931866682
68	0.3930294691
69	0.3929945208
70	0.3929153017
71	0.3928173152
72	0.3927913845
73	0.3927172022
74	0.3925924344
75	0.3925528287
76	0.3924636564
77	0.3923869197
78	0.3923144891
79	0.3922514941
80	0.3922416908
81	0.3922234508
82	0.3921590452
83	0.3921196991
84	0.392058977
85	0.3920521699
86	0.392007628
87	0.3918785136
88	0.391819509
89	0.3917938902
90	0.3917515031
91	0.3917506685
92	0.3917458454
93	0.3917188931
94	0.3916711428
95	0.3915911543
96	0.3915187335
97	0.391514115
98	0.3914380376
99	0.3913729731
100	0.3913033958
101	0.3912035105
102	0.3911205626
103	0.3909938553
104	0.3909403974
105	0.3908584907
106	0.3908093669
107	0.3907702106
108	0.3907702102
109	0.3907518664
110	0.3906790589
111	0.3906695408
112	0.3905630005
113	0.3905004743
114	0.3904150269
115	0.39036041
116	0.3903053811
117	0.3902007564
118	0.3901867097
119	0.3901309659
120	0.3900472705
121	0.3900297589
122	0.389933721
123	0.3898540272
124	0.3897998595
125	0.3897851105
126	0.3897053245
127	0.3896713848
128	0.3896289516
129	0.3895835134
130	0.3895557663
131	0.3894723972
132	0.3894359762
133	0.3893727804
134	0.3893673401
135	0.3892790625
136	0.3892292023
137	0.3892247345
138	0.3892179863
139	0.3891532712
140	0.389044749
141	0.3889284575
142	0.3888712169
143	0.3888177736
144	0.3888177728
145	0.3887472978
146	0.3886701346
147	0.3885430337
148	0.38849274
149	0.3884219667
150	0.3883625589
151	0.3882906564
152	0.3881763321
153	0.3881763277
154	0.3880690988
155	0.387941696
156	0.3878419815
157	0.3877810252
158	0.3876902642
159	0.3876061896
160	0.3875096096
161	0.3874114491
162	0.3873130541
163	0.3872182972
164	0.3871145107
165	0.3870861042
166	0.3870343274
167	0.3869683962
168	0.3868822979
169	0.386821342
170	0.3867353429
171	0.3866543639
172	0.3865791329
173	0.3865134217
174	0.3864553793
175	0.3864168635
176	0.3863265575
177	0.3862467317
178	0.3861654619
179	0.3860788661
180	0.3859952274
181	0.3859019975
182	0.3857967599
183	0.3856661418
184	0.3855842454
185	0.385461147
186	0.385372553
187	0.3852505642
188	0.3851745888
189	0.3850743845
190	0.3849722991
191	0.3847605849
192	0.3846845378
193	0.3845767817
194	0.3844808188
195	0.3843885558
196	0.384305349
197	0.3842051061
198	0.3841243526
199	0.3840487881
200	0.3839673184
201	0.3838449663
202	0.3837406293
203	0.3836961092
204	0.3836165072
205	0.3835046294
206	0.3834209044
207	0.3833487047
208	0.3832890009
209	0.383229186
210	0.383142349
211	0.3830133039
212	0.3829184071
213	0.38283252
214	0.3827373911
215	0.3826569612
216	0.3825547912
217	0.3824605498
218	0.3824007473
219	0.3823190043
220	0.3822272695
221	0.3821827766
222	0.3821244417
223	0.3820328242
224	0.3819200556
225	0.3817848111
226	0.3816976994
227	0.3815905064
228	0.381541179
229	0.3814568631
230	0.3813770139
231	0.3813066303
232	0.3811850682
233	0.3810731188
234	0.3809838541
235	0.3808840709
236	0.3808069917
237	0.380700509
238	0.3806410971
239	0.3805843944
240	0.3804716093
241	0.3803745636
242	0.3802867352
243	0.3801829278
244	0.3801060094
245	0.3800390034
246	0.37995499
247	0.3798603257
248	0.3797948038
249	0.3797241979
250	0.3796415316
251	0.3795188908
252	0.379449069
253	0.3793381041
254	0.3792519177
255	0.3791177554
256	0.379042171
257	0.3789524236
258	0.3788783793
259	0.3787879292
260	0.3787134634
261	0.37863558
262	0.3785500286
263	0.378499982
264	0.3784172877
265	0.3783528469
266	0.3782684949
267	0.3781876905
268	0.3781056382
269	0.3780257265
270	0.3779576
271	0.3778489496
272	0.3777822466
273	0.3777149537
274	0.3776270838
275	0.3775306083
276	0.3774691759
277	0.3773876702
278	0.3772965687
279	0.3771864974
280	0.3771169418
281	0.3770329101
282	0.3769692662
283	0.3768557276
284	0.3767972812
285	0.3767171003
286	0.3766734121
287	0.3765811875
288	0.3765296197
289	0.3764227795
290	0.3763252619
291	0.3762803412
292	0.376186642
293	0.3760965176
294	0.3760237834
295	0.375932516
296	0.375849791
297	0.3757477108
298	0.3756798028
299	0.3756076367
