iter	Passed	Remaining
0	208	62410
1	383	57081
2	577	57155
3	730	54088
4	857	50564
5	953	46706
6	1080	45217
7	1205	44011
8	1327	42910
9	1486	43117
10	1627	42770
11	1809	43416
12	1969	43480
13	2120	43322
14	2254	42841
15	2427	43089
16	2591	43137
17	2755	43173
18	2962	43814
19	3161	44260
20	3362	44671
21	3487	44068
22	3625	43668
23	3790	43590
24	3941	43351
25	4072	42918
26	4241	42890
27	4419	42930
28	4536	42393
29	4598	41388
30	4643	40296
31	4758	39851
32	4867	39378
33	4992	39060
34	5072	38403
35	5254	38529
36	5419	38520
37	5500	37924
38	5577	37327
39	5687	36971
40	5851	36964
41	6026	37022
42	6186	36972
43	6300	36656
44	6435	36470
45	6600	36443
46	6756	36371
47	6949	36483
48	7011	35914
49	7142	35711
50	7295	35621
51	7489	35717
52	7620	35515
53	7724	35187
54	7863	35027
55	7928	34544
56	7994	34082
57	8094	33773
58	8212	33547
59	8347	33390
60	8529	33417
61	8631	33134
62	8789	33064
63	8933	32941
64	9012	32584
65	9177	32537
66	9300	32341
67	9397	32063
68	9501	31809
69	9635	31660
70	9795	31594
71	9910	31381
72	10042	31229
73	10197	31143
74	10369	31107
75	10553	31103
76	10717	31039
77	10867	30931
78	11001	30776
79	11150	30662
80	11254	30429
81	11329	30119
82	11450	29937
83	11542	29681
84	11722	29650
85	11792	29344
86	12005	29392
87	12147	29263
88	12312	29189
89	12457	29067
90	12614	28972
91	12693	28698
92	12770	28425
93	12903	28278
94	13048	28156
95	13311	28287
96	13571	28402
97	13710	28261
98	13922	28266
99	14090	28181
100	14320	28215
101	14512	28171
102	14682	28082
103	14870	28024
104	15013	27883
105	15211	27839
106	15352	27691
107	15509	27572
108	15567	27279
109	15737	27182
110	15919	27105
111	16066	26968
112	16254	26899
113	16433	26812
114	16633	26757
115	16829	26694
116	17025	26629
117	17203	26533
118	17366	26415
119	17515	26273
120	17647	26106
121	17820	26000
122	18107	26056
123	18250	25903
124	18411	25775
125	18536	25597
126	18771	25570
127	18945	25457
128	19119	25344
129	19291	25227
130	19429	25065
131	19570	24908
132	19716	24756
133	19867	24611
134	19969	24407
135	20094	24231
136	20228	24067
137	20384	23929
138	20462	23700
139	20623	23570
140	20786	23440
141	20946	23307
142	21160	23232
143	21324	23101
144	21378	22853
145	21614	22798
146	21822	22712
147	22002	22597
148	22180	22478
149	22388	22388
150	22616	22316
151	22829	22228
152	22940	22040
153	23034	21837
154	23150	21656
155	23322	21528
156	23478	21385
157	23628	21235
158	23784	21091
159	23907	20919
160	24049	20763
161	24203	20617
162	24335	20453
163	24437	20264
164	24583	20113
165	24711	19947
166	24842	19784
167	24993	19638
168	25141	19488
169	25295	19343
170	25396	19159
171	25535	19003
172	25719	18881
173	25824	18700
174	25972	18552
175	26110	18395
176	26241	18235
177	26372	18075
178	26536	17937
179	26732	17821
180	26880	17673
181	27024	17521
182	27173	17373
183	27314	17220
184	27446	17061
185	27591	16910
186	27736	16760
187	27892	16616
188	28030	16462
189	28197	16325
190	28318	16160
191	28457	16007
192	28599	15855
193	28858	15767
194	29101	15669
195	29318	15556
196	29502	15425
197	29657	15278
198	29863	15156
199	30104	15052
200	30357	14952
201	30553	14823
202	30802	14718
203	30990	14583
204	31154	14437
205	31290	14277
206	31432	14121
207	31549	13954
208	31694	13800
209	31807	13631
210	31929	13467
211	32039	13299
212	32162	13136
213	32282	12973
214	32420	12817
215	32603	12679
216	32812	12550
217	32975	12403
218	33153	12262
219	33337	12122
220	33466	11963
221	33576	11797
222	33678	11628
223	33786	11463
224	33891	11297
225	34009	11135
226	34113	10970
227	34247	10815
228	34352	10650
229	34479	10493
230	34650	10350
231	34842	10212
232	34992	10062
233	35107	9902
234	35227	9743
235	35346	9585
236	35463	9426
237	35577	9268
238	35708	9113
239	35868	8967
240	35994	8811
241	36122	8657
242	36302	8515
243	36477	8371
244	36618	8220
245	36761	8069
246	36940	7926
247	37107	7780
248	37283	7636
249	37385	7477
250	37527	7326
251	37722	7185
252	37872	7035
253	38003	6882
254	38129	6728
255	38245	6573
256	38399	6424
257	38571	6279
258	38720	6129
259	38893	5983
260	39037	5833
261	39194	5684
262	39361	5537
263	39482	5383
264	39602	5230
265	39744	5080
266	39848	4925
267	39971	4772
268	40070	4617
269	40162	4462
270	40291	4311
271	40415	4160
272	40530	4008
273	40648	3857
274	40775	3706
275	40878	3554
276	40993	3403
277	41103	3252
278	41202	3101
279	41362	2954
280	41507	2806
281	41705	2662
282	41874	2515
283	42030	2367
284	42209	2221
285	42405	2075
286	42638	1931
287	42905	1787
288	43110	1640
289	43295	1492
290	43467	1344
291	43620	1195
292	43813	1046
293	43986	897
294	44125	747
295	44274	598
296	44400	448
297	44527	298
298	44667	149
299	44872	0
